a0,a1,a2,b0,b1,b2,b3,b4,b5,b6,o0,o1,o2,o3,o4,o5,o6,o7,o8,o9,o10,o11,,a,b,o
1,1,0,0,1,1,1,1,1,1,1,0,1,0,0,0,1,0,0,0,0,0,,0 + 1j,1 + 5j,1 + 6j
1,1,0,1,1,1,1,1,1,1,0,0,0,1,1,1,1,0,0,0,0,0,,0 + 1j,2 + 5j,2 + 6j
0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,0 - 2j,0 + 0j,0 - 2j
0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,,0 - 2j,1 + 0j,1 - 2j
0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,,0 - 2j,-1 + 1j,-1 - 1j
0,0,1,1,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,,0 - 2j,0 + 1j,0 - 1j
0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,,0 - 2j,0 - 2j,0 - 4j
0,0,1,1,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,,0 - 2j,1 - 2j,1 - 4j
0,0,1,0,1,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,,0 - 2j,-1 - 1j,-1 - 3j
0,0,1,1,1,1,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,,0 - 2j,0 - 1j,0 - 3j
0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,,0 - 2j,2 + 2j,2 + 0j
0,0,1,1,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,,0 - 2j,3 + 2j,3 + 0j
0,0,1,0,1,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,,0 - 2j,1 + 3j,1 + 1j
0,0,1,1,1,0,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,,0 - 2j,2 + 3j,2 + 1j
0,0,1,0,0,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,,0 - 2j,2 + 0j,2 - 2j
0,0,1,1,0,1,1,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,,0 - 2j,3 + 0j,3 - 2j
0,0,1,0,1,1,1,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,,0 - 2j,1 + 1j,1 - 1j
0,0,1,1,1,1,1,0,0,0,1,1,0,1,1,1,0,0,0,0,0,0,,0 - 2j,2 + 1j,2 - 1j
0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,,0 - 2j,-4 + 0j,-4 - 2j
0,0,1,1,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,,0 - 2j,-3 + 0j,-3 - 2j
0,0,1,0,1,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,,0 - 2j,-5 + 1j,-5 - 1j
0,0,1,1,1,0,0,1,0,0,1,1,1,0,1,0,0,0,0,0,0,0,,0 - 2j,-4 + 1j,-4 - 1j
0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,,0 - 2j,-4 - 2j,-4 - 4j
0,0,1,1,0,1,0,1,0,0,1,0,0,0,0,1,1,1,0,0,0,0,,0 - 2j,-3 - 2j,-3 - 4j
0,0,1,0,1,1,0,1,0,0,0,1,0,0,0,1,1,1,0,0,0,0,,0 - 2j,-5 - 1j,-5 - 3j
0,0,1,1,1,1,0,1,0,0,1,1,0,0,0,1,1,1,0,0,0,0,,0 - 2j,-4 - 1j,-4 - 3j
0,0,1,0,0,0,1,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,,0 - 2j,-2 + 2j,-2 + 0j
0,0,1,1,0,0,1,1,0,0,1,0,1,1,1,0,0,0,0,0,0,0,,0 - 2j,-1 + 2j,-1 + 0j
0,0,1,0,1,0,1,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0,,0 - 2j,-3 + 3j,-3 + 1j
0,0,1,1,1,0,1,1,0,0,1,1,1,1,1,0,0,0,0,0,0,0,,0 - 2j,-2 + 3j,-2 + 1j
0,0,1,0,0,1,1,1,0,0,0,0,0,1,0,1,1,1,0,0,0,0,,0 - 2j,-2 + 0j,-2 - 2j
0,0,1,1,0,1,1,1,0,0,1,0,0,1,0,1,1,1,0,0,0,0,,0 - 2j,-1 + 0j,-1 - 2j
0,0,1,0,1,1,1,1,0,0,0,1,0,1,0,1,1,1,0,0,0,0,,0 - 2j,-3 + 1j,-3 - 1j
0,0,1,1,1,1,1,1,0,0,1,1,0,1,0,1,1,1,0,0,0,0,,0 - 2j,-2 + 1j,-2 - 1j
0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,,0 - 2j,4 - 4j,4 - 6j
0,0,1,1,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,,0 - 2j,5 - 4j,5 - 6j
0,0,1,0,1,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,,0 - 2j,3 - 3j,3 - 5j
0,0,1,1,1,0,0,0,1,0,1,1,1,0,0,1,0,0,0,0,0,0,,0 - 2j,4 - 3j,4 - 5j
0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,,0 - 2j,4 - 6j,4 - 8j
0,0,1,1,0,1,0,0,1,0,1,0,0,0,1,0,0,1,1,0,0,0,,0 - 2j,5 - 6j,5 - 8j
0,0,1,0,1,1,0,0,1,0,0,1,0,0,1,0,0,1,1,0,0,0,,0 - 2j,3 - 5j,3 - 7j
0,0,1,1,1,1,0,0,1,0,1,1,0,0,1,0,0,1,1,0,0,0,,0 - 2j,4 - 5j,4 - 7j
0,0,1,0,0,0,1,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,,0 - 2j,6 - 2j,6 - 4j
0,0,1,1,0,0,1,0,1,0,1,0,1,1,0,1,0,0,0,0,0,0,,0 - 2j,7 - 2j,7 - 4j
0,0,1,0,1,0,1,0,1,0,0,1,1,1,0,1,0,0,0,0,0,0,,0 - 2j,5 - 1j,5 - 3j
0,0,1,1,1,0,1,0,1,0,1,1,1,1,0,1,0,0,0,0,0,0,,0 - 2j,6 - 1j,6 - 3j
0,0,1,0,0,1,1,0,1,0,0,0,0,1,1,0,0,1,1,0,0,0,,0 - 2j,6 - 4j,6 - 6j
0,0,1,1,0,1,1,0,1,0,1,0,0,1,1,0,0,1,1,0,0,0,,0 - 2j,7 - 4j,7 - 6j
0,0,1,0,1,1,1,0,1,0,0,1,0,1,1,0,0,1,1,0,0,0,,0 - 2j,5 - 3j,5 - 5j
0,0,1,1,1,1,1,0,1,0,1,1,0,1,1,0,0,1,1,0,0,0,,0 - 2j,6 - 3j,6 - 5j
0,0,1,0,0,0,0,1,1,0,0,0,1,0,1,1,0,0,0,0,0,0,,0 - 2j,0 - 4j,0 - 6j
0,0,1,1,0,0,0,1,1,0,1,0,1,0,1,1,0,0,0,0,0,0,,0 - 2j,1 - 4j,1 - 6j
0,0,1,0,1,0,0,1,1,0,0,1,1,0,1,1,0,0,0,0,0,0,,0 - 2j,-1 - 3j,-1 - 5j
0,0,1,1,1,0,0,1,1,0,1,1,1,0,1,1,0,0,0,0,0,0,,0 - 2j,0 - 3j,0 - 5j
0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,1,1,1,0,,0 - 2j,0 - 6j,0 - 8j
0,0,1,1,0,1,0,1,1,0,1,0,0,0,0,0,1,0,1,1,1,0,,0 - 2j,1 - 6j,1 - 8j
0,0,1,0,1,1,0,1,1,0,0,1,0,0,0,0,1,0,1,1,1,0,,0 - 2j,-1 - 5j,-1 - 7j
0,0,1,1,1,1,0,1,1,0,1,1,0,0,0,0,1,0,1,1,1,0,,0 - 2j,0 - 5j,0 - 7j
0,0,1,0,0,0,1,1,1,0,0,0,1,1,1,1,0,0,0,0,0,0,,0 - 2j,2 - 2j,2 - 4j
0,0,1,1,0,0,1,1,1,0,1,0,1,1,1,1,0,0,0,0,0,0,,0 - 2j,3 - 2j,3 - 4j
0,0,1,0,1,0,1,1,1,0,0,1,1,1,1,1,0,0,0,0,0,0,,0 - 2j,1 - 1j,1 - 3j
0,0,1,1,1,0,1,1,1,0,1,1,1,1,1,1,0,0,0,0,0,0,,0 - 2j,2 - 1j,2 - 3j
0,0,1,0,0,1,1,1,1,0,0,0,0,1,0,0,1,0,1,1,1,0,,0 - 2j,2 - 4j,2 - 6j
0,0,1,1,0,1,1,1,1,0,1,0,0,1,0,0,1,0,1,1,1,0,,0 - 2j,3 - 4j,3 - 6j
0,0,1,0,1,1,1,1,1,0,0,1,0,1,0,0,1,0,1,1,1,0,,0 - 2j,1 - 3j,1 - 5j
0,0,1,1,1,1,1,1,1,0,1,1,0,1,0,0,1,0,1,1,1,0,,0 - 2j,2 - 3j,2 - 5j
0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,,0 - 2j,0 + 8j,0 + 6j
0,0,1,1,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,,0 - 2j,1 + 8j,1 + 6j
0,0,1,0,1,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,,0 - 2j,-1 + 9j,-1 + 7j
0,0,1,1,1,0,0,0,0,1,1,1,1,0,0,0,1,0,0,0,0,0,,0 - 2j,0 + 9j,0 + 7j
0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,,0 - 2j,0 + 6j,0 + 4j
0,0,1,1,0,1,0,0,0,1,1,0,0,0,1,1,1,0,0,0,0,0,,0 - 2j,1 + 6j,1 + 4j
0,0,1,0,1,1,0,0,0,1,0,1,0,0,1,1,1,0,0,0,0,0,,0 - 2j,-1 + 7j,-1 + 5j
0,0,1,1,1,1,0,0,0,1,1,1,0,0,1,1,1,0,0,0,0,0,,0 - 2j,0 + 7j,0 + 5j
0,0,1,0,0,0,1,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,,0 - 2j,2 + 10j,2 + 8j
0,0,1,1,0,0,1,0,0,1,1,0,1,1,0,0,1,0,0,0,0,0,,0 - 2j,3 + 10j,3 + 8j
0,0,1,0,1,0,1,0,0,1,0,1,1,1,0,0,1,0,0,0,0,0,,0 - 2j,1 + 11j,1 + 9j
0,0,1,1,1,0,1,0,0,1,1,1,1,1,0,0,1,0,0,0,0,0,,0 - 2j,2 + 11j,2 + 9j
0,0,1,0,0,1,1,0,0,1,0,0,0,1,1,1,1,0,0,0,0,0,,0 - 2j,2 + 8j,2 + 6j
0,0,1,1,0,1,1,0,0,1,1,0,0,1,1,1,1,0,0,0,0,0,,0 - 2j,3 + 8j,3 + 6j
0,0,1,0,1,1,1,0,0,1,0,1,0,1,1,1,1,0,0,0,0,0,,0 - 2j,1 + 9j,1 + 7j
0,0,1,1,1,1,1,0,0,1,1,1,0,1,1,1,1,0,0,0,0,0,,0 - 2j,2 + 9j,2 + 7j
0,0,1,0,0,0,0,1,0,1,0,0,1,0,1,0,1,0,0,0,0,0,,0 - 2j,-4 + 8j,-4 + 6j
0,0,1,1,0,0,0,1,0,1,1,0,1,0,1,0,1,0,0,0,0,0,,0 - 2j,-3 + 8j,-3 + 6j
0,0,1,0,1,0,0,1,0,1,0,1,1,0,1,0,1,0,0,0,0,0,,0 - 2j,-5 + 9j,-5 + 7j
0,0,1,1,1,0,0,1,0,1,1,1,1,0,1,0,1,0,0,0,0,0,,0 - 2j,-4 + 9j,-4 + 7j
0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,1,0,1,1,1,0,0,,0 - 2j,-4 + 6j,-4 + 4j
0,0,1,1,0,1,0,1,0,1,1,0,0,0,0,1,0,1,1,1,0,0,,0 - 2j,-3 + 6j,-3 + 4j
0,0,1,0,1,1,0,1,0,1,0,1,0,0,0,1,0,1,1,1,0,0,,0 - 2j,-5 + 7j,-5 + 5j
0,0,1,1,1,1,0,1,0,1,1,1,0,0,0,1,0,1,1,1,0,0,,0 - 2j,-4 + 7j,-4 + 5j
0,0,1,0,0,0,1,1,0,1,0,0,1,1,1,0,1,0,0,0,0,0,,0 - 2j,-2 + 10j,-2 + 8j
0,0,1,1,0,0,1,1,0,1,1,0,1,1,1,0,1,0,0,0,0,0,,0 - 2j,-1 + 10j,-1 + 8j
0,0,1,0,1,0,1,1,0,1,0,1,1,1,1,0,1,0,0,0,0,0,,0 - 2j,-3 + 11j,-3 + 9j
0,0,1,1,1,0,1,1,0,1,1,1,1,1,1,0,1,0,0,0,0,0,,0 - 2j,-2 + 11j,-2 + 9j
0,0,1,0,0,1,1,1,0,1,0,0,0,1,0,1,0,1,1,1,0,0,,0 - 2j,-2 + 8j,-2 + 6j
0,0,1,1,0,1,1,1,0,1,1,0,0,1,0,1,0,1,1,1,0,0,,0 - 2j,-1 + 8j,-1 + 6j
0,0,1,0,1,1,1,1,0,1,0,1,0,1,0,1,0,1,1,1,0,0,,0 - 2j,-3 + 9j,-3 + 7j
0,0,1,1,1,1,1,1,0,1,1,1,0,1,0,1,0,1,1,1,0,0,,0 - 2j,-2 + 9j,-2 + 7j
0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,1,1,0,0,0,0,0,,0 - 2j,4 + 4j,4 + 2j
0,0,1,1,0,0,0,0,1,1,1,0,1,0,0,1,1,0,0,0,0,0,,0 - 2j,5 + 4j,5 + 2j
0,0,1,0,1,0,0,0,1,1,0,1,1,0,0,1,1,0,0,0,0,0,,0 - 2j,3 + 5j,3 + 3j
0,0,1,1,1,0,0,0,1,1,1,1,1,0,0,1,1,0,0,0,0,0,,0 - 2j,4 + 5j,4 + 3j
0,0,1,0,0,1,0,0,1,1,0,0,0,0,1,0,1,1,1,0,0,0,,0 - 2j,4 + 2j,4 + 0j
0,0,1,1,0,1,0,0,1,1,1,0,0,0,1,0,1,1,1,0,0,0,,0 - 2j,5 + 2j,5 + 0j
0,0,1,0,1,1,0,0,1,1,0,1,0,0,1,0,1,1,1,0,0,0,,0 - 2j,3 + 3j,3 + 1j
0,0,1,1,1,1,0,0,1,1,1,1,0,0,1,0,1,1,1,0,0,0,,0 - 2j,4 + 3j,4 + 1j
0,0,1,0,0,0,1,0,1,1,0,0,1,1,0,1,1,0,0,0,0,0,,0 - 2j,6 + 6j,6 + 4j
0,0,1,1,0,0,1,0,1,1,1,0,1,1,0,1,1,0,0,0,0,0,,0 - 2j,7 + 6j,7 + 4j
0,0,1,0,1,0,1,0,1,1,0,1,1,1,0,1,1,0,0,0,0,0,,0 - 2j,5 + 7j,5 + 5j
0,0,1,1,1,0,1,0,1,1,1,1,1,1,0,1,1,0,0,0,0,0,,0 - 2j,6 + 7j,6 + 5j
0,0,1,0,0,1,1,0,1,1,0,0,0,1,1,0,1,1,1,0,0,0,,0 - 2j,6 + 4j,6 + 2j
0,0,1,1,0,1,1,0,1,1,1,0,0,1,1,0,1,1,1,0,0,0,,0 - 2j,7 + 4j,7 + 2j
0,0,1,0,1,1,1,0,1,1,0,1,0,1,1,0,1,1,1,0,0,0,,0 - 2j,5 + 5j,5 + 3j
0,0,1,1,1,1,1,0,1,1,1,1,0,1,1,0,1,1,1,0,0,0,,0 - 2j,6 + 5j,6 + 3j
0,0,1,0,0,0,0,1,1,1,0,0,1,0,1,1,1,0,0,0,0,0,,0 - 2j,0 + 4j,0 + 2j
0,0,1,1,0,0,0,1,1,1,1,0,1,0,1,1,1,0,0,0,0,0,,0 - 2j,1 + 4j,1 + 2j
0,0,1,0,1,0,0,1,1,1,0,1,1,0,1,1,1,0,0,0,0,0,,0 - 2j,-1 + 5j,-1 + 3j
0,0,1,1,1,0,0,1,1,1,1,1,1,0,1,1,1,0,0,0,0,0,,0 - 2j,0 + 5j,0 + 3j
0,0,1,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,,0 - 2j,0 + 2j,0 + 0j
0,0,1,1,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,,0 - 2j,1 + 2j,1 + 0j
0,0,1,0,1,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,,0 - 2j,-1 + 3j,-1 + 1j
0,0,1,1,1,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,,0 - 2j,0 + 3j,0 + 1j
0,0,1,0,0,0,1,1,1,1,0,0,1,1,1,1,1,0,0,0,0,0,,0 - 2j,2 + 6j,2 + 4j
0,0,1,1,0,0,1,1,1,1,1,0,1,1,1,1,1,0,0,0,0,0,,0 - 2j,3 + 6j,3 + 4j
0,0,1,0,1,0,1,1,1,1,0,1,1,1,1,1,1,0,0,0,0,0,,0 - 2j,1 + 7j,1 + 5j
0,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,,0 - 2j,2 + 7j,2 + 5j
0,0,1,0,0,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,,0 - 2j,2 + 4j,2 + 2j
0,0,1,1,0,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,,0 - 2j,3 + 4j,3 + 2j
0,0,1,0,1,1,1,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,,0 - 2j,1 + 5j,1 + 3j
0,0,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,,0 - 2j,2 + 5j,2 + 3j
1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,,1 - 2j,0 + 0j,1 - 2j
1,0,1,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,,1 - 2j,1 + 0j,2 - 2j
1,0,1,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,,1 - 2j,-1 + 1j,0 - 1j
1,0,1,1,1,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,,1 - 2j,0 + 1j,1 - 1j
1,0,1,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,,1 - 2j,0 - 2j,1 - 4j
1,0,1,1,0,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,,1 - 2j,1 - 2j,2 - 4j
1,0,1,0,1,1,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,,1 - 2j,-1 - 1j,0 - 3j
1,0,1,1,1,1,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,,1 - 2j,0 - 1j,1 - 3j
1,0,1,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,,1 - 2j,2 + 2j,3 + 0j
1,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,,1 - 2j,3 + 2j,4 + 0j
1,0,1,0,1,0,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,,1 - 2j,1 + 3j,2 + 1j
1,0,1,1,1,0,1,0,0,0,0,1,0,0,1,0,1,1,1,0,0,0,,1 - 2j,2 + 3j,3 + 1j
1,0,1,0,0,1,1,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,,1 - 2j,2 + 0j,3 - 2j
1,0,1,1,0,1,1,0,0,0,0,0,1,0,1,0,1,1,1,0,0,0,,1 - 2j,3 + 0j,4 - 2j
1,0,1,0,1,1,1,0,0,0,1,1,0,1,1,1,0,0,0,0,0,0,,1 - 2j,1 + 1j,2 - 1j
1,0,1,1,1,1,1,0,0,0,0,1,1,0,1,0,1,1,1,0,0,0,,1 - 2j,2 + 1j,3 - 1j
1,0,1,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,,1 - 2j,-4 + 0j,-3 - 2j
1,0,1,1,0,0,0,1,0,0,0,0,0,1,0,1,1,1,0,0,0,0,,1 - 2j,-3 + 0j,-2 - 2j
1,0,1,0,1,0,0,1,0,0,1,1,1,0,1,0,0,0,0,0,0,0,,1 - 2j,-5 + 1j,-4 - 1j
1,0,1,1,1,0,0,1,0,0,0,1,0,1,0,1,1,1,0,0,0,0,,1 - 2j,-4 + 1j,-3 - 1j
1,0,1,0,0,1,0,1,0,0,1,0,0,0,0,1,1,1,0,0,0,0,,1 - 2j,-4 - 2j,-3 - 4j
1,0,1,1,0,1,0,1,0,0,0,0,1,1,0,1,1,1,0,0,0,0,,1 - 2j,-3 - 2j,-2 - 4j
1,0,1,0,1,1,0,1,0,0,1,1,0,0,0,1,1,1,0,0,0,0,,1 - 2j,-5 - 1j,-4 - 3j
1,0,1,1,1,1,0,1,0,0,0,1,1,1,0,1,1,1,0,0,0,0,,1 - 2j,-4 - 1j,-3 - 3j
1,0,1,0,0,0,1,1,0,0,1,0,1,1,1,0,0,0,0,0,0,0,,1 - 2j,-2 + 2j,-1 + 0j
1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1 - 2j,-1 + 2j,0 + 0j
1,0,1,0,1,0,1,1,0,0,1,1,1,1,1,0,0,0,0,0,0,0,,1 - 2j,-3 + 3j,-2 + 1j
1,0,1,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,1 - 2j,-2 + 3j,-1 + 1j
1,0,1,0,0,1,1,1,0,0,1,0,0,1,0,1,1,1,0,0,0,0,,1 - 2j,-2 + 0j,-1 - 2j
1,0,1,1,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,1 - 2j,-1 + 0j,0 - 2j
1,0,1,0,1,1,1,1,0,0,1,1,0,1,0,1,1,1,0,0,0,0,,1 - 2j,-3 + 1j,-2 - 1j
1,0,1,1,1,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,,1 - 2j,-2 + 1j,-1 - 1j
1,0,1,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,,1 - 2j,4 - 4j,5 - 6j
1,0,1,1,0,0,0,0,1,0,0,0,0,1,1,0,0,1,1,0,0,0,,1 - 2j,5 - 4j,6 - 6j
1,0,1,0,1,0,0,0,1,0,1,1,1,0,0,1,0,0,0,0,0,0,,1 - 2j,3 - 3j,4 - 5j
1,0,1,1,1,0,0,0,1,0,0,1,0,1,1,0,0,1,1,0,0,0,,1 - 2j,4 - 3j,5 - 5j
1,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0,1,1,0,0,0,,1 - 2j,4 - 6j,5 - 8j
1,0,1,1,0,1,0,0,1,0,0,0,1,1,1,0,0,1,1,0,0,0,,1 - 2j,5 - 6j,6 - 8j
1,0,1,0,1,1,0,0,1,0,1,1,0,0,1,0,0,1,1,0,0,0,,1 - 2j,3 - 5j,4 - 7j
1,0,1,1,1,1,0,0,1,0,0,1,1,1,1,0,0,1,1,0,0,0,,1 - 2j,4 - 5j,5 - 7j
1,0,1,0,0,0,1,0,1,0,1,0,1,1,0,1,0,0,0,0,0,0,,1 - 2j,6 - 2j,7 - 4j
1,0,1,1,0,0,1,0,1,0,0,0,0,0,1,1,1,1,1,0,0,0,,1 - 2j,7 - 2j,8 - 4j
